"day_cut","sentiment","year","day","app"
2017-05-06,0.01,2017,6,"2"
2017-05-07,0.05,2017,7,"2"
2017-05-08,0.21,2017,8,"2"
2017-05-09,0.18,2017,9,"2"
2017-05-10,0.29,2017,10,"2"
2017-05-11,0.05,2017,11,"2"
2017-05-12,0.07,2017,12,"2"
2017-05-13,0.21,2017,13,"2"
2017-05-14,0,2017,14,"2"
2017-05-15,0.09,2017,15,"2"
2017-05-16,0.29,2017,16,"2"
2017-05-17,-0.16,2017,17,"2"
2017-05-18,0.25,2017,18,"2"
2017-05-19,0.27,2017,19,"2"
2017-05-20,0.12,2017,20,"2"
2017-05-21,0.38,2017,21,"2"
2017-05-22,0.22,2017,22,"2"
2017-05-23,0.21,2017,23,"2"
2017-05-24,0.11,2017,24,"2"
2017-05-25,0.57,2017,25,"2"
2017-05-26,0.1,2017,26,"2"
2017-05-27,0.14,2017,27,"2"
2017-05-28,0.25,2017,28,"2"
2017-05-29,0.27,2017,29,"2"
2017-05-30,0.18,2017,30,"2"
2017-05-31,0.04,2017,31,"2"
2017-06-01,-0.04,2017,1,"2"
2017-06-02,0.58,2017,2,"2"
2017-06-03,0.23,2017,3,"2"
2017-06-04,0.05,2017,4,"2"
2017-06-05,0.04,2017,5,"2"
2017-06-06,0.02,2017,6,"2"
2017-06-07,0.42,2017,7,"2"
2017-06-08,0.49,2017,8,"2"
2017-06-09,0.7,2017,9,"2"
2017-06-10,-0.06,2017,10,"2"
2017-06-11,0.27,2017,11,"2"
2017-06-12,-0.04,2017,12,"2"
2017-06-13,0.22,2017,13,"2"
2017-06-14,0.17,2017,14,"2"
2017-06-15,0.37,2017,15,"2"
2017-06-16,0.17,2017,16,"2"
2017-06-17,0.31,2017,17,"2"
2017-06-18,0.43,2017,18,"2"
2017-06-19,0.38,2017,19,"2"
2017-06-20,0.25,2017,20,"2"
2017-06-21,0.12,2017,21,"2"
2017-06-22,0.23,2017,22,"2"
2017-06-23,0.33,2017,23,"2"
2017-06-24,0.14,2017,24,"2"
2017-06-25,0.14,2017,25,"2"
2017-06-26,0.25,2017,26,"2"
2017-06-27,0.1,2017,27,"2"
2017-06-28,0.1,2017,28,"2"
2017-06-29,0.21,2017,29,"2"
2017-06-30,0.31,2017,30,"2"
2017-07-01,-0.12,2017,1,"2"
2017-07-02,0.12,2017,2,"2"
2017-07-03,0.41,2017,3,"2"
2017-07-04,0.28,2017,4,"2"
2017-07-05,0.18,2017,5,"2"
2017-07-06,0.44,2017,6,"2"
2017-07-07,0.43,2017,7,"2"
2017-07-08,-0.1,2017,8,"2"
